date,close
2023-11-09,16560
2023-11-10,16565
2023-11-13,16580
2023-11-14,16585
2023-11-15,16590
2023-11-16,16595
2023-11-17,16600
2023-11-20,16615
2023-11-21,16620
2023-11-22,16625
2023-11-23,16630
2023-11-24,16635
2023-11-27,16650
2023-11-28,16655
2023-11-29,16660
2023-11-30,16665
2023-12-01,16670
2023-12-04,16685
2023-12-05,16690
2023-12-06,16695
2023-12-07,16700
2023-12-08,16705
2023-12-11,16720
2023-12-12,16725
2023-12-13,16730
2023-12-14,16735
2023-12-15,16740
2023-12-18,16755
2023-12-19,16760
2023-12-20,16765
2023-12-21,16770
2023-12-22,16775
2023-12-25,16790
2023-12-26,16795
2023-12-27,16800
2023-12-28,16805
2023-12-29,16810
2024-01-01,16825
2024-01-02,16830
2024-01-03,16835
2024-01-04,16840
2024-01-05,16845
2024-01-08,16860
2024-01-09,16865
2024-01-10,16870
2024-01-11,16875
2024-01-12,16880
2024-01-15,16895
2024-01-16,16900
2024-01-17,16905
2024-01-18,16910
2024-01-19,16915
2024-01-22,16930
2024-01-23,16935
2024-01-24,16940
2024-01-25,16945
2024-01-26,16950
2024-01-29,16965
2024-01-30,16970
2024-01-31,16975
2024-02-01,16980
2024-02-02,16985
